msa,status,n_taxa,n_realA,n_realB,n_inherited,n_inhA,n_inhB,O_A,O_B,merged_taxa,taxa_ok,loglik,rf_true,nrf_true,n_common,faith_a,faith_b,faithful,ll_score,ll_raxml,ll_diff,raxml_agree,raxml_err,mode,seed,budget,time_sec,error
random_tree_001,ok,200,98,82,20,11,9,T113,T99,200,1,-127837.7042,24,0.0609,200,0,0,1,-127837.7042,-127837.7042,0.0,1,,ml,42,0,65.88,
random_tree_002,ok,200,88,92,20,10,10,T36,T51,200,1,-118623.8415,14,0.0355,200,0,0,1,-118623.8415,-118623.8415,0.0,1,,ml,42,0,61.12,
random_tree_011,ok,200,76,104,20,8,12,T192,T69,200,1,-114728.3522,10,0.0254,200,0,0,1,-114728.3522,-114728.3522,0.0,1,,ml,42,0,62.47,
random_tree_012,ok,200,87,93,20,10,10,T33,T52,200,1,-119493.2887,34,0.0863,200,0,0,1,-119493.2887,-119493.2887,0.0,1,,ml,42,0,69.98,
random_tree_013,ok,200,80,100,20,9,11,T115,T186,200,1,-115992.0921,8,0.0203,200,0,0,1,-115992.0921,-115992.0921,0.0,1,,ml,42,0,62.44,
random_tree_014,ok,200,81,99,20,9,11,T127,T170,200,1,-112720.3402,16,0.0406,200,0,0,1,-112720.3402,-112720.3402,0.0,1,,ml,42,0,69.06,
random_tree_015,ok,200,77,103,20,9,11,T200,T73,200,1,-126719.1251,18,0.0457,200,0,0,1,-126719.1251,-126719.1251,0.0,1,,ml,42,0,71.38,
random_tree_016,ok,200,90,90,20,10,10,T38,T5,200,1,-114686.3841,18,0.0457,200,0,0,1,-114686.3841,-114686.3841,0.0,1,,ml,42,0,66.97,
random_tree_155,ok,200,98,82,20,11,9,T119,T99,200,1,-117783.5826,26,0.066,200,0,0,1,-117783.5826,-117783.5826,0.0,1,,ml,42,0,56.69,
random_tree_156,ok,200,95,85,20,10,10,T17,T47,200,1,-114508.7738,24,0.0609,200,0,0,1,-114508.7738,-114508.7738,0.0,1,,ml,42,0,58.26,
random_tree_157,ok,200,92,88,20,10,10,T149,T53,200,1,-122418.9894,16,0.0406,200,0,0,1,-122418.9894,-122418.9894,0.0,1,,ml,42,0,64.15,
random_tree_158,ok,200,95,85,20,11,9,T136,T82,200,1,-116371.3171,20,0.0508,200,0,0,1,-116371.3171,-116371.3171,0.0,1,,ml,42,0,61.71,
random_tree_159,ok,200,102,78,20,11,9,T129,T70,200,1,-115369.3162,18,0.0457,200,0,0,1,-115369.3162,-115369.3162,0.0,1,,ml,42,0,68.01,
random_tree_160,ok,200,93,87,20,10,10,T150,T57,200,1,-120237.7931,34,0.0863,200,0,0,1,-120237.7931,-120237.7931,0.0,1,,ml,42,0,56.2,
random_tree_017,ok,200,87,93,20,10,10,T33,T52,200,1,-111283.0454,28,0.0711,200,0,0,1,-111283.0454,-111283.0454,0.0,1,,ml,42,0,54.93,
random_tree_161,ok,200,84,96,20,9,11,T35,T72,200,1,-121552.2174,18,0.0457,200,0,0,1,-121552.2174,-121552.2174,0.0,1,,ml,42,0,61.17,
random_tree_162,ok,200,89,91,20,10,10,T30,T57,200,1,-112549.7268,20,0.0508,200,0,0,1,-112549.7268,-112549.7268,0.0,1,,ml,42,0,60.01,
random_tree_163,ok,200,87,93,20,10,10,T37,T59,200,1,-117369.5829,36,0.0914,200,0,0,1,-117369.5829,-117369.5829,0.0,1,,ml,42,0,57.31,
random_tree_164,ok,200,117,63,20,13,7,T98,T145,200,1,-119681.1546,24,0.0609,200,0,0,1,-119681.1546,-119681.1546,0.0,1,,ml,42,0,72.39,
random_tree_165,ok,200,86,94,20,10,10,T34,T59,200,1,-116268.3734,24,0.0609,200,0,0,1,-116268.3734,-116268.3734,0.0,1,,ml,42,0,59.24,
random_tree_166,ok,200,93,87,20,10,10,T152,T50,200,1,-116231.5648,20,0.0508,200,0,0,1,-116231.5648,-116231.5648,0.0,1,,ml,42,0,61.8,
random_tree_167,ok,200,95,85,20,11,9,T129,T82,200,1,-111980.6486,28,0.0711,200,0,0,1,-111980.6486,-111980.6486,0.0,1,,ml,42,0,67.18,
random_tree_168,ok,200,83,97,20,9,11,T123,T169,200,1,-113448.5213,40,0.1015,200,0,0,1,-113448.5213,-113448.5213,0.0,1,,ml,42,0,61.91,
random_tree_169,ok,200,95,85,20,11,9,T146,T80,200,1,-121436.9866,30,0.0761,200,0,0,1,-121436.9866,-121436.9866,0.0,1,,ml,42,0,67.93,
random_tree_170,ok,200,88,92,20,10,10,T31,T50,200,1,-118148.4,20,0.0508,200,0,0,1,-118148.4,-118148.4,0.0,1,,ml,42,0,60.58,
random_tree_018,ok,200,95,85,20,11,9,T142,T82,200,1,-117257.3704,22,0.0558,200,0,0,1,-117257.3704,-117257.3704,0.0,1,,ml,42,0,64.32,
